Represent only those who voted for them,僅代表那些投票給他們的人
Which party formed the government in 2010?,哪個政黨在2010年組成政府？
Your name and telephone number,您的姓名和電話號碼
To challenge the government,挑戰政府
The Queen's eldest son,女王的長子
When was the Emancipation Act signed?,《解放法》何時簽署？
Who directed the British movie the Belles of St Trinian's in 1954?,誰在1954年導演了英國電影《聖特里尼亞人的鐘聲》？
The First English Bible,第一本英語聖經
To represent everyone in the UK,代表英國的每個人
In April,在四月份
1970s,1970年代
1910's,1910年
Festival of Happiness,幸福節
Gaelic,蓋爾語
£1,£1
Wales,威爾士
The Pope,教皇
2000,2000
Eye colour,眼睛的顏色
Aintree,Aintree
"In 1846, the Corn Laws prevented the import of cheap grain.",1846年，玉米法律阻止了廉價穀物的進口。
"What name is given to the official flag that represents the union between England, Scotland, Wales and Northern Ireland?",代表英格蘭，蘇格蘭，威爾士和北愛爾蘭之間聯合的官方旗幟有什麼名字？
Colin Firth,科林·菲斯（Colin Firth）
Wasim Akram,Wasim Akram
What is the 'Divine Right of Kings'?,“國王的神聖權利”是什麼？
Children's Hearings system is used in which country?,兒童聽證會系統在哪個國家使用？
Isaac Newton,艾薩克·牛頓
Elections every 3 years,每3年選舉
1967,1967年
The O2 arena,O2競技場
When did the First World War end?,第一次世界大戰何時結束？
Hill forts,小山堡壘
What created the United Kingdom of Great Britain and Ireland?,是什麼創造了英國和愛爾蘭的英國？
What is an important part of the UK character?,英國角色的重要組成部分是什麼？
To be or not to be,生存還是毀滅
What did the first farmers build in Britain?,第一批農民在英國建造了什麼？
Winston Churchill,溫斯頓·丘吉爾
"Forced Marriage Protection Orders were introduced in 2008 for England, Wales and Northern Ireland",2008年為英格蘭，威爾士和北愛爾蘭引入了強迫結婚命令
Charles I's army was defeated at the Battle of Marston Moor but won the Battle of Naseby,查爾斯一世的軍隊在馬斯頓摩爾戰役中被擊敗，但贏得了納西比戰役
Elections every year,每年的選舉
Who designed New Delhi to be the seat of government in India?,誰設計新德里是印度政府的所在地？
Water,水
Disability,失能
1642,1642
"the Black Death, Magna Carta, Canterbury Tales",黑人死亡，瑪格娜·卡塔（Magna Carta），坎特伯雷故事
Charles Dickens,查爾斯·狄更斯
Parliament won the English Civil War,議會贏得了英國內戰
What is Diwali often called?,排燈節經常叫什麼？
Free radio and tv channels,免費廣播和電視頻道
Medal of Honour,榮譽勳章
The UK bombing German cities,英國轟炸德國城市
"William, the Duke of Normandy",威廉，諾曼底公爵
Who was R. A. Butler?,誰是R. A. Butler？
Near London,倫敦附近
Magistrate,地方法官
1953,1953年
Who lost a lot of their power after the Battle of Culloden in 1746?,在1746年的庫洛登戰役之後，誰失去了很多力量？
Savings Accounts,儲蓄賬戶
100 years,100年
About 10 mins,大約10分鐘
Ash Wednesday,聖灰星期三
Which novel is the satirical novelist Evelyn Waugh best known for?,諷刺小說家伊夫琳·沃（Evelyn Waugh）是哪本小說最著名的？
East London,東倫敦
In which year was there a major outbreak of plague in London?,倫敦的瘟疫爆發在哪一年？
Pumpkins,南瓜
Which TWO of these are core values and responsibilities of the British society?,其中哪兩個是英國社會的核心價值觀和責任？
Self-checkout,自我檢查
John Constable,約翰·康斯特布爾
the parliament,議會
Sheriff Court,警長法院
New Year,新年
Which TWO of the following are examples of criminal law?,以下哪個是刑法的例子？
NATO aims to maintain peace between all of its members,北約旨在維持其所有成員之間的和平
The Giant's Causeway,巨人的堤道
Tombs and Stadiums,墳墓和體育場
People over 70 can apply for a free TV licence and blind people can get a 75% discount,70歲以上的人可以申請免費的電視許可證，而盲人可以獲得75％的折扣
A white rose,一朵白玫瑰
The end of Ramadan,齋月的盡頭
Restricted King's power,限制國王的力量
Shipbuilding,造船
Jayne Torvill and Christopher Dean,傑恩·托維爾（Jayne Torvill）和克里斯托弗·迪恩（Christopher Dean）
Henry Moore,亨利·摩爾
All kind of benefits,各種好處
13th century,13世紀
Where is the Millennium Stadium located?,千年體育場在哪裡？
Have a university degree,擁有大學學位
by AD 550,通過廣告550
Sir Francis Chichester,弗朗西斯·奇切斯特爵士
"Can the devolved administrations control sectors such as immigration, foreign affairs and taxation?",權力下放的政府可以控制移民，外交和稅收等部門嗎？
A form of plague,鼠疫形式
1679,1679年
43 AD,公元43
Golden Hind,金後
Freedom of religion,宗教自由
The Welsh Dragon doesn't appear on the Union Flag because Wales was already united with England in 1606,威爾士龍沒有出現在聯盟旗上，因為威爾士已經在1606年與英格蘭聯合
40 million,4000萬
1314,1314
Who established the Church of England?,誰建立了英格蘭教堂？
Crystal Palace,水晶宮
FGM and forced marriage are legal in the UK,女性女以及強迫婚姻在英國是合法的
Interpreting the law,解釋法律
When did the development of a free press happen?,自由媒體的發展何時發生？
What can the Scottish Parliament do?,蘇格蘭議會可以做什麼？
Arrested,被捕
Ernst Rutherford,恩斯特·盧瑟福
The Crimean war was fought with France against Turkey,克里米亞戰爭與法國與土耳其作戰
Shadow Ministers,影子部長
To point out failures,指出失敗
The Westend Tales,韋斯特故事
Who is the author of 'Charlie and the Chocolate Factory'?,誰是“查理和巧克力工廠”的作者？
Chicken,雞
Always share the same views as your partner,始終與您的伴侶分享相同的觀點
"On average, girls leave school with better qualifications than boys",平均而言，女孩離開學校的資格比男孩更好
Ornaments and weapons,裝飾品和武器
Where were the first farmers that came to Britain from?,最早來自英國的農民在哪裡？
Margaret Thatcher,瑪格麗特·撒切爾
The UK has hosted the Olympic Games three times. When did the UK host the games in the 20th century? (Choose TWO),英國已經參加了三次奧運會。英國什麼時候在20世紀舉辦奧運會？ （選擇兩個）
27,27
Who is responsible for crime and immigration?,誰負責犯罪和移民？
Anne Boleyn,安妮·博林
Codified,編纂
Snowdonia,斯諾尼亞
In March,三月
"Sir Kingsley Amis was a famous English novelist and poet who wrote more than 20 novels, including 'Lucky Jim'",金斯利·阿米斯爵士（Sir Kingsley Amis）是一位著名的英國小說家和詩人，他寫了20多本小說，包括“幸運吉姆”
Annexed Wales to England,吞併威爾士到英國
What time do Public Houses open at?,公共房屋什麼時候開放？
Cornwall,康沃爾郡
The House of Commons,下議院
Which popular yearly sporting event takes place between Oxford and Cambridge universities?,牛津大學和劍橋大學之間進行了哪個流行的年度體育賽事？
23rd of December,12月23日
What is the National Anthem of the UK?,英國的國歌是什麼？
Which organization looks after the Edinburgh Castle?,哪個組織照顧愛丁堡城堡？
40m,40m
£5,£5
A battle,一場戰爭
Local Authorities,地方當局
1899,1899年
Alan Turing,艾倫·圖靈（Alan Turing）
The Archbishop of Canterbury is the spiritual leader of the Church of England,坎特伯雷大主教是英格蘭教會的精神領袖
How many members does a jury have in Scotland?,陪審團在蘇格蘭有多少成員？
"Henry VIII's fourth wife, Anne of Cleves was a Spanish princess",亨利八世的第四任妻子，克萊夫斯的安妮是西班牙公主
Holyrood,荷里德
When did William of Orange invade England?,橙色的威廉何時入侵英格蘭？
South-East Europe,東歐
In what year did the Troubles break out?,麻煩爆發了哪一年？
Which TWO are NOT part of the UK?,哪兩個不是英國的一部分？
What is the name of the song sung by people in the UK and other countries when celebrating the New Year?,慶祝新年時，英國和其他國家的人們演唱了這首歌的名字？
The longest distance on the mainland is from John O'Groats on the north coast of Scotland to Land's End in the south-west corner of England. It is about 870 kilometres.,大陸上最長的距離是從蘇格蘭北部海岸的約翰·奧格羅斯（John O'Groats）到英格蘭西南角的陸地末端。大約是870公里。
"£2,000","£2,000"
Who built the Hadrian's Wall to keep out the Picts?,誰建造了哈德良的牆以防止Picts？
"6,000 years ago",6，000年前
Prevent Diseases,預防疾病
E-mail,電子郵件
Roundheads,圓頭
Knocking on people's doors and asking for their support,敲門並尋求他們的支持
What is MP's responsibility?,國會議員的責任是什麼？
A social security system for everyone,每個人的社會保障系統
Lack of food,缺乏食物
"What Palace was a cast-iron and plate-glass building originally erected in Hyde Park, London, England, to house the Great Exhibition of 1851?",哪個宮殿是最初在英格蘭倫敦海德公園建造的鑄鐵和板玻璃建築，以舉辦1851年的大型展覽？
Which of these countries is currently part of the EU?,這些國家目前是歐盟的一部分？
Danebury,丹尼伯里
Bangladesh,孟加拉國
Union King,聯合國王
75 million,7500萬
Popularity,受歡迎程度
By contacting the police,通過與警察聯繫
1962,1962年
When was the time of growing patriotism?,愛國主義日益發展的時間是什麼時候？
King Alfred the Great,國王阿爾弗雷德大帝
James I,詹姆斯一世
St Andrew's Day is on 17 March,聖安德魯節是3月17日
Catholics,天主教徒
The Middle ages,中世紀
How can you help looking after the environment?,您如何幫助照顧環境？
1964,1964年
How long is Hannukah celebrated for?,Hannukah慶祝了多長時間？
Rage Drinking,憤怒喝
The Battle Of Britain,英國之戰
Which country invented Cricket?,哪個國家發明了板球？
The Phantom of the Opera,歌劇的幻影
Classical,古典
England,英國
William,威廉
When did many Scottish people leave for North America?,許多蘇格蘭人甚麼時候去北美？
Who should you contact to get your National Insurance number?,您應該與誰聯繫以獲取您的國民保險號碼？
less than 0.5%,小於0.5％
What do the National Insurance Contributions fund?,國家保險捐款是什麼？
1693,1693年
Which of these athletes is a Paralympian who won gold medals for swimming?,這些運動員中的哪一個是殘奧會，贏得了游泳金牌？
The devolved administrations each have their own civil service.,權力的政府每個人都有自己的公務員。
The Prime Minister cannot be changed until the next General election,總理直到下一次大選才能改變
"UK, West Germany, France, Belgium, Italy and the Netherlands formed the European Economic Community (EEC) in 1957.",英國，西德，法國，比利時，意大利和荷蘭在1957年成立了歐洲經濟群落（EEC）。
Sir Robert Walpole,羅伯特·沃爾波爾爵士
Trafalgar Square,特拉法加廣場
How old is the Elizabeth Tower (sometimes called Big Ben)?,伊麗莎白塔（有時稱為大笨鐘）多大了？
The Buckingham Palace,白金漢宮
How many American colonies declared their independence in 1776?,1776年，有多少美國殖民地宣布獨立？
NSPCC is a charity for which of the following?,NSPCC是以下哪項慈善機構？
"At the beginning of the Middle Ages, Ireland was an independent country",在中世紀開始時，愛爾蘭是一個獨立的國家
Aviation,航空
Ask parents for money,向父母求錢
New Year's eve,除夕
The King's,國王的
New Delhi,新德里
When did hereditary peers lose the automatic right to attend the House of Lords?,世襲同齡人甚麼時候失去了參加上議院的自動權利？
A motor race,賽車
In which year was the first Union Flag created?,第一個工會旗在哪一年？
How often are the General Elections held?,大選多久舉行一次？
Which official holiday is celebrated on the 30th November in Scotland?,11月30日在蘇格蘭慶祝哪個官方假期？
Who can stand for office as a Local Councillor?,誰能擔任當地議員？
What were the people who supported the King known as in 1642?,1642年支持國王的人是什麼？
Luxurious Life,豪華的生活
Celtic,凱爾特人
King James,詹姆斯國王
The Home secretary,內政大臣
"During the 19th century, new ideas about politics, philosophy and science were developed. This is often called 'the Enlightenment'",在19世紀，關於政治，哲學和科學的新思想得到了發展。這通常稱為“啟蒙”
No,不
Kate Winslet,凱特·溫斯萊特
Viking,維京人
Sea Battle,海戰
Affirm,確認
"During the reigns of Elizabeth I and James I, where did the English government encourage Scottish and English Protestants to settle?",在伊麗莎白一世和詹姆斯一世的統治期間，英國政府在哪裡鼓勵蘇格蘭和英國新教徒定居？
F-22,F-22
The Labour and Liberal Democrat parties formed a coalition in 2010.,勞工和自由民主黨在2010年成立了一個聯盟。
How long is the Bayeux Tapestry?,Bayeux掛毯多長時間？
A lake,湖
Daffodil,水仙花
The rule of law,法治
In the north of Ireland,在愛爾蘭北部
Crisis and Shelter,危機和庇護所
What is Richard Arkwright remembered for?,理查德·阿克賴特（Richard Arkwright）記得什麼？
For which TWO subjects are the Secretaries of State responsible?,國家秘書負責哪兩個主題？
1936,1936年
Swansea,斯旺西
People under 18 are not allowed to participate in the National Lottery.,18歲以下的人不允許參加國家彩票。
1974,1974年
The UK and Germany bombing French cities,英國和德國轟炸法國城市
Ian Botham,伊恩·博塔姆（Ian Botham）
Which country(s) did Britain fight against during the Battle of Trafalgar?,在特拉法加戰役中，英國在哪個國家對抗？
The Scottish Parliament was formed in 1998 and sits in Edinburgh,蘇格蘭議會成立於1998年，位於愛丁堡
New Years Celebration,新年慶祝活動
Nelson,納爾遜
Introduced Democracy,介紹了民主
Was a landscape painter in modern style,是現代風格的景觀畫家
17th,17日
The Reform Act of 1832 took away the automatic right of hereditary peers to attend the House of Lords,1832年的《改革法案》奪走了世襲同齡人參加上議院的自動權利
"Civil servants are expected to be politically neutral, what core values should they have?",預計公務員在政治上是中立的，他們應該擁有什麼核心價值？
To improve working conditions,改善工作條件
Family,家庭
Haggis is a traditional food of which country?,哈吉斯是哪個國家的傳統食物？
When were women given the right to vote at the same age as men?,婦女何時獲得與男性同齡的投票權？
What country did Britain fight against during the Crimean War?,克里米亞戰爭期間，英國在哪個國家對抗？
What can the Laws made by the EU also be called?,歐盟制定的法律也可以被稱為什麼？
FALSE,錯誤的
Which British TV shows are popular in the UK now?,現在，哪些英國電視節目在英國很受歡迎？
The Bronze Age,青銅時代
southern England,英格蘭南部
Which operas were written by Gilbert and Sullivan?,吉爾伯特和沙利文寫了哪些歌劇？
AD 630,廣告630
What is the most famous rugby tournament?,什麼是最著名的橄欖球比賽？
"During the 18th century, Britain fought a number of wars with France.",在18世紀，英國與法國進行了許多戰爭。
Northern Europe,北歐
"In 1947, independence was granted to nine countries, including India, Pakistan and Ceylon (now Sri Lanka).",1947年，獨立授予包括印度，巴基斯坦和錫蘭（現為斯里蘭卡）在內的九個國家。
"Protestant Christian groups include Baptists, Methodists, Presbyterians and Quakers",新教基督教團體包括浸信會，衛理公會，長老會和貴格會
Sir Geoffrey Chaucer,杰弗裡·喬uc爵士
Twitter,推特
What was the 'Black Death'?,什麼是“黑死”？
Check laws that have been passed to ensure that they are fit for purpose,檢查已通過的法律，以確保它們適合目的
The King James' Bible is a new translation of the Bible into English,國王詹姆斯的聖經是聖經的新譯本
the Great Depression,大蕭條
The New Age Church,新時代教堂
Huge Display,巨大的顯示
Terrorism,恐怖主義
Sailing,航行
Poems,詩
Hogmanay,霍格馬納
"British, Irish only",英國，只有愛爾蘭
Sir Robert Watson-Watt,羅伯特·沃森·瓦特爵士
The London Eye is situated on the southern bank of which river?,倫敦眼位於哪條河的南岸？
Hovercraft tank,氣墊船
Forced marriages are an offence in the UK,強迫婚姻在英國是犯罪
It was called the 'Glorious Revolution' because there a rapid development of economy of the UK.,之所以被稱為“光榮革命”，是因為英國經濟的迅速發展。
When did the English defeat the Spanish Armada?,英國人何時擊敗西班牙艦隊？
How often is the electoral register updated?,選舉登記冊多久更新一次？
Wheat,小麥
To prevent the import of cheap grain,防止進口廉價穀物
The House of Lords,上議院
Instructors,講師
Stone Age,石器時代
25 March 1957,1957年3月25日
Which TWO developments are associated with the 'Swinging Sixties'?,哪兩個發展與“搖擺六十年代”有關？
"Names of places, such as Grimsby and Scunthorpe come from which language?",諸如Grimsby和Scunthorpe之類的地方的名稱來自哪種語言？
1685,1685年
Church,教會
Which of these is correct in the chronological order?,按時間順序排列的哪個是正確的？
£20,£20
Christmas Day celebrates the birth of Jesus Christ,聖誕節慶祝耶穌基督的誕生
"During the civil war of 1455, what colour rose was the symbol of the House of Lancaster?",在1455年內戰期間，蘭開斯特之家的象徵是什麼顏色？
The Battle of Britain,英國之戰
Detect and prevent crime,檢測並預防犯罪
The Super Bowl,超級碗
Charles I,查爾斯一世
The Bill of Rights confirmed the rights of Parliament and the limits of the King's power,《人權法案》確認了議會的權利和國王權力的範圍
When was the Magna Carta established?,瑪格娜·卡塔（Magna Carta）什麼時候建立？
Euro,歐元
The Festival of Love,愛節
New St Paul's Cathedral,新聖保羅大教堂
The official Church of the state is the Church of England called the Anglican Church in Scotland.,國家官方教會是英格蘭教堂，稱為蘇格蘭的英國國教教堂。
Every 5 years,每5年一次
V festival,V節
Getting paid for each vote obtained in commission,為在委員會中獲得的每次投票獲得報酬
"Mary Stuart (also known as 'Mary, Queen of Scots') fled to England. She was suspected of trying to take over the throne and was kept a prisoner for 20 years",瑪麗·斯圖爾特（Mary Stuart）（也被稱為“蘇格蘭女王瑪麗”）逃到英國。她被懷疑試圖接管王位，並被囚禁了20年
25,25
The MacDonalds of Clanranald,克蘭納德的麥克唐納
That your dog does not come into contact with other dogs,你的狗沒有與其他狗接觸
Winston Churchill lost the General Election in 1945,溫斯頓·丘吉爾（Winston Churchill）在1945年失去了大選
Over 300,超過300
Who is currently the Head of State of the UK?,誰目前是英國國家負責人？
Stormont,Stormont
The Elizabeth Medal,伊麗莎白勳章
The cost of Health Care,醫療保健費用
Wellington,惠靈頓
Pride and Prejudice,傲慢與偏見
When do pubs usually open?,酒吧通常什麼時候開放？
Apple,蘋果
Selling or buying drugs such as heroin is illegal in the UK,在英國出售或購買海洛因等藥物是非法的
Which patron Saint has a white cross on a blue ground?,哪個守護神在藍色的地面上有一個白色的十字架？
Which TWO scientists led a team which was the first to clone an animal?,哪兩位科學家領導了第一個克隆動物的團隊？
The Lake District,湖畔區域
What is the official report that contains everything said in Parliament called?,什麼是官方報告，其中包含議會中所說的一切？
What profession was Florence Nightingale famous for?,佛羅倫薩夜鶯以什麼職業聞名？
Good Friday,耶穌受難日
Actland,阿克蘭
The Eastend Tales,東德故事
Unfair dismissal or discrimination in the workplace,在工作場所的不公平解僱或歧視
What's the age requirement to drink wine with a meal with someone over 18?,與18歲以上的人一起用餐的年齡是多少？
In 2010 Queen Elizabeth II celebrated her Diamond Jubilee (50 years as queen),2010年，伊麗莎白二世皇后慶祝了她的鑽石禧年（50歲時擔任女王）
Broke away from the Church of Rome,脫離羅馬教堂
"Who appoints the government, which most people have chosen in a democratic election?",誰任命大多數人在民主選舉中選擇的政府？
Auditorio de Tenerife,Tenerife的Auditorio
Where can you find Crown Jewels?,在哪裡可以找到皇冠珠寶？
The building of Parliament,議會建造
Shane Warne,Shane Warne
A rose is beautiful,玫瑰很漂亮
300 years,300年
Which of these words is based on Norman words?,這些詞中的哪個基於諾曼語？
The Elizabethan period,伊麗莎白時代
Gold Age,黃金時代
Who is a Patron St of Scotland?,誰是蘇格蘭的讚助人？
The Speaker also represents Parliament on ceremonial occasions,演講者還代表議會在禮儀場合
When is the Bonfire Night celebrated?,篝火晚會何時慶祝？
The Prime Minister can be changed if the MPs in the governing party decide to do so,如果理事會中的國會議員決定這樣做，總理可以更改
As long as it's valid,只要有效
18th and 19th century,18世紀和19世紀
"None, Liberal Democrats and Conservative party formed a Coalition",沒有，自由民主黨和保守黨組成了一個聯盟
Prince Charles,查爾斯王子
1600,1600
Which Scottish poet wrote 'The Bruce”?,哪位蘇格蘭詩人寫了《布魯斯》？
A Scottish cyclist,蘇格蘭騎自行車的人
Falkland Islands,福克蘭群島
Mary Peters,瑪麗·彼得斯
When is Christmas Eve?,聖誕節前夕什麼時候？
1708,1708年
1658,1658年
What are elected members of the National Assembly of Wales known as?,威爾士國民議會的民選成員被稱為什麼？
18th and 19th centuries,18世紀和19世紀
Bulgaria,保加利亞
Women were given the right to vote at the age of 18,婦女在18歲時獲得投票權
Which of these was a British plane in WWII?,其中哪一個是第二次世界大戰的英國飛機？
1681,1681年
Their parents/guardians,他們的父母/監護人
Liverpool,利物浦
When did the English civil war begin?,英國內戰何時開始？
"140,000","140,000"
The Indian art of washing,印度洗滌藝術
Doing outdoor activities,進行戶外活動
The Archbishop of Canterbury chooses the Speaker,坎特伯雷大主教選擇演講者
Until 11 AM,直到上午11點
God Save the Queen,上帝保佑女王
Portugal,葡萄牙
"The Union Flag is made up of Welsh, Scottish, Irish and English crosses",聯盟旗由威爾士，蘇格蘭，愛爾蘭和英國十字架組成
The Crimean War,克里米亞戰爭
What do you have to pay tax on in the UK?,您必須在英國繳稅什麼？
Putting people in prison,把人們放進監獄
Justice of the Peace Court,和平法院法官
What was the more probable use for the Stonehenge?,巨石陣更可能使用什麼？
When did the English Civil war begin?,英國內戰何時開始？
"Adult citizens of the UK, and citizens of the Commonwealth and the Irish Republic who are resident in the UK, can vote in all public elections",英國的成年公民，英聯邦和愛爾蘭共和國的公民都可以在所有公開選舉中投票
The Modern Welfare State,現代福利國家
A Rose,玫瑰
1649,1649年
The right to vote for the working class,投票權參加工人階級
The monarch,君主
In Wales a system called the Children's Hearings System is used to deal with children and young people who have committed an offence.,在威爾士，一種名為“兒童聽證會”系統的系統用於與犯罪的兒童和年輕人打交道。
Civil servants cannot stand for Office,公務員不能替代辦公室
Formal institutions,正式機構
USA and Australia,美國和澳大利亞
30th of October,10月30日
The White Tower in the Tower of London,倫敦塔的白色塔樓
Baroness Tanni Grey-Thompson,男爵夫人Tanni Grey-Thompson
40,40
Sir Steve Redgrave,史蒂夫·雷德格雷夫爵士
Who was made a Dame of the British Empire in 2000?,誰在2000年被任命為大英帝國？
600 years,600年
Slaves,奴隸
The Great Charter,偉大的憲章
NHS,NHS
Cucumber,黃瓜
Elizabeth I,伊麗莎白一世
Prince Philip,菲利普親王
An Antenna,天線
12%,12％
PAYG,PAYG
Which play was written by Shakespeare?,莎士比亞寫了哪個戲？
6%,6％
4000 years ago,4000年前
Anyone to be able to stand as an MP,任何人都可以成為國會議員
When did the Vikings first attack Britain?,維京人何時攻擊英國？
What happens at 11:00 on the Remembrance Day?,紀念日11:00會發生什麼？
Who invaded the Falkland Islands in 1982?,誰在1982年入侵了福克蘭群島？
Union Jack,聯合傑克
"Who is responsible for subjects such as education, health and defence?",誰負責教育，衛生和防禦等科目？
1937,1937年
"On which TWO occasions will there be a fresh election, called a by-election, in MP's constituency?",在國會議員的選區中，哪兩次將有兩次新的選舉，稱為補選？
The 39 steps was directed by David Lean in 1980,這39個步驟是由David Lean指導的1980年
Pirates,海盜
Every 3 years,每3年一次
Richard Arkwright,理查德·阿克賴特（Richard Arkwright）
Horse Racing,賽馬
Naseby,納西比
What are TWO of the activities that you might be involved in when canvassing?,拉票時可能參與的兩項活動是什麼？
Portsmouth,樸次茅斯
North England,北英格蘭
King William the Conqueror,國王威廉征服者
The British spirit,英國精神
108,108
Welsh dragon cross,威爾士龍十字
Who led the Labour Government from 2007 to 2010?,誰從2007年到2010年領導工黨政府？
The Six Nations Championship,六國冠軍
What did the Magna Carta do?,瑪格娜·卡塔（Magna Carta）做了什麼？
